GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
personal-finance-app,ru.financeapp.infra,FileJsonStorage,79,194,4,8,20,48,7,11,3,9
personal-finance-app,ru.financeapp,Main,8,0,0,0,3,0,2,0,2,0
personal-finance-app,ru.financeapp.core,User,18,41,5,1,3,12,3,7,0,7
personal-finance-app,ru.financeapp.core,Transaction.Type,0,15,0,0,0,3,0,1,0,1
personal-finance-app,ru.financeapp.core,FinanceService,43,309,14,20,5,70,14,24,1,20
personal-finance-app,ru.financeapp.core,UserService,6,75,0,12,2,19,2,11,2,5
personal-finance-app,ru.financeapp.core,Transaction,72,26,14,0,8,9,10,4,3,4
personal-finance-app,ru.financeapp.core,Wallet,32,29,4,0,8,6,7,3,5,3
personal-finance-app,ru.financeapp.exceptions,InvalidInputException,0,4,0,0,0,2,0,1,0,1
personal-finance-app,ru.financeapp.exceptions,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
personal-finance-app,ru.financeapp.exceptions,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
personal-finance-app,ru.financeapp.cli,CommandParser,3,0,0,0,1,0,1,0,1,0
personal-finance-app,ru.financeapp.cli,ConsoleApp.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
personal-finance-app,ru.financeapp.cli,ConsoleApp.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
personal-finance-app,ru.financeapp.cli,CommandParser.Command,0,37,1,3,0,8,1,2,0,1
personal-finance-app,ru.financeapp.cli,ConsoleApp,369,436,45,27,81,95,40,21,6,13
